Nombre de Archivo	Palabra	Frecuencia
TC1.txt	mother	1
TC1.txt	tions	1
TC1.txt	pin	1
TC1.txt	sure	1
TC1.txt	regulatory	1
TC1.txt	shower	1
TC1.txt	uni	1
TC1.txt	dial	1
TC1.txt	photography	1
TC1.txt	buying	1
TC1.txt	firms	1
TC1.txt	nba	1
TC1.txt	father	1
TC1.txt	championship	1
TC1.txt	vagina	1
TC1.txt	fonts	1
TC1.txt	sparc	1
TC1.txt	explorer	1
TC1.txt	rl	1
TC1.txt	shadow	1
TC1.txt	danish	1
TC1.txt	seed	1
TC1.txt	hiking	1
TC1.txt	instrumentation	1
TC1.txt	introduces	1
TC1.txt	kinda	1
TC1.txt	nor	1
TC1.txt	newer	1
TC1.txt	peter	1
TC1.txt	contamination	1
TC1.txt	matters	1
TC1.txt	bedding	1
TC1.txt	achievement	1
TC1.txt	password	1
TC1.txt	conservative	2
TC1.txt	webcast	1
TC1.txt	locks	1
TC1.txt	cove	1
TC1.txt	taxes	1
TC1.txt	could	1
TC1.txt	pct	1
TC1.txt	adequate	1
TC1.txt	nightmare	1
TC1.txt	marathon	1
TC1.txt	permission	1
TC1.txt	cartridge	1
TC1.txt	clear	1
TC1.txt	drum	1
TC1.txt	trained	1
TC1.txt	p	1
TC1.txt	manufacturer	1
TC1.txt	leisure	1
TC1.txt	media	1
TC1.txt	journey	1
TC1.txt	anal	1
TC1.txt	teaches	1
TC1.txt	customized	1
TC1.txt	oakland	1
TC1.txt	louis	1
TC1.txt	tab	1
TC1.txt	consistent	1
TC1.txt	enhanced	1
TC1.txt	liable	1
TC1.txt	ebony	1
TC1.txt	wan	1
TC1.txt	pubmed	1
TC1.txt	math	1
TC1.txt	tea	1
TC1.txt	craps	1
TC1.txt	gothic	1
TC1.txt	permissions	1
TC1.txt	recorded	1
TC1.txt	cgi	1
TC1.txt	confirm	1
TC1.txt	hyundai	1
TC1.txt	exhaust	1
TC1.txt	malpractice	1
TC1.txt	pens	1
TC1.txt	potentially	1
TC1.txt	glenn	1
TC1.txt	scoring	1
TC1.txt	andrews	1
TC1.txt	assessed	1
TC1.txt	adventures	1
TC1.txt	meals	1
TC1.txt	mortality	1
TC1.txt	club	1
TC1.txt	mon	1
TC1.txt	comm	1
TC1.txt	blues	1
TC1.txt	collect	1
TC1.txt	lies	1
TC1.txt	seats	1
TC1.txt	worse	1
TC1.txt	guestbook	1
TC1.txt	influences	1
TC1.txt	kodak	1
TC1.txt	significance	1
TC1.txt	coastal	1
TC2.txt	conduct	1
TC2.txt	kuwait	1
TC2.txt	literacy	1
TC2.txt	table	1
TC2.txt	parent	1
TC2.txt	olympic	1
TC2.txt	ht	1
TC2.txt	algebra	1
TC2.txt	lease	4
TC2.txt	brass	4
TC2.txt	revenues	4
TC2.txt	targeted	4
TC2.txt	inflation	4
TC2.txt	chain	4
TC2.txt	holders	4
TC2.txt	amongst	4
TC2.txt	monaco	4
TC2.txt	filme	4
TC2.txt	doc	4
TC2.txt	kingston	4
TC2.txt	wood	3
TC2.txt	pre	3
TC2.txt	ss	1
TC2.txt	norm	1
TC2.txt	females	1
TC2.txt	sq	1
TC2.txt	builders	1
TC2.txt	newly	1
TC2.txt	history	1
TC2.txt	stores	1
TC2.txt	textiles	1
TC2.txt	exams	1
TC2.txt	midi	1
TC2.txt	correct	1
TC2.txt	conferencing	1
TC2.txt	touch	1
TC2.txt	comic	1
TC2.txt	container	1
TC2.txt	preparation	1
TC2.txt	teen	1
TC2.txt	males	1
TC2.txt	correlation	1
TC2.txt	fioricet	1
TC2.txt	networks	1
TC2.txt	deck	1
TC2.txt	dean	1
TC2.txt	advantages	1
TC2.txt	out	1
TC2.txt	hub	1
TC2.txt	italy	1
TC2.txt	objects	1
TC2.txt	resort	1
TC2.txt	priced	1
TC2.txt	southampton	1
TC2.txt	munich	1
TC2.txt	sorry	1
TC2.txt	delays	1
TC2.txt	man	1
TC2.txt	croatia	1
TC2.txt	vice	1
TC2.txt	opens	1
TC2.txt	blowjob	1
TC2.txt	galleries	1
TC2.txt	weight	1
TC2.txt	jeff	1
TC2.txt	boots	1
TC2.txt	clan	1
TC2.txt	compatibility	1
TC2.txt	purposes	1
TC2.txt	prof	1
TC2.txt	come	1
TC2.txt	jose	1
TC2.txt	turkish	1
TC2.txt	classes	1
TC2.txt	vessels	1
TC2.txt	answering	1
TC2.txt	sweden	1
TC2.txt	hampshire	1
TC2.txt	j	1
TC2.txt	responsibilities	1
TC2.txt	magazines	1
TC2.txt	rio	1
TC2.txt	amounts	1
TC2.txt	instantly	1
TC2.txt	fill	1
TC2.txt	str	1
TC2.txt	naturals	1
TC2.txt	automation	1
TC2.txt	apache	1
TC2.txt	rule	1
TC2.txt	goals	1
TC2.txt	outlook	1
TC2.txt	afternoon	1
TC2.txt	odd	1
TC2.txt	genome	1
TC2.txt	protest	1
TC2.txt	catalog	1
TC2.txt	creates	1
TC2.txt	bases	1
TC2.txt	prominent	1
TC2.txt	consisting	1
TC2.txt	minneapolis	1
TC2.txt	night	1
TC2.txt	tiger	1
TC2.txt	unity	1
TC2.txt	disposal	1
TC2.txt	cannon	1
TC2.txt	ou	1
TC2.txt	hall	1
TC2.txt	atomic	1
TC2.txt	chosen	1
TC2.txt	violence	1
TC2.txt	sectors	1
TC2.txt	ignored	1
TC2.txt	cheese	1
TC2.txt	frozen	1
TC2.txt	corp	1
TC2.txt	undo	1
TC2.txt	tba	1
TC2.txt	way	1
TC2.txt	filter	1
TC2.txt	win	1
TC2.txt	attending	1
TC2.txt	returned	1
TC2.txt	anchor	1
TC2.txt	sides	1
TC2.txt	defence	1
TC2.txt	biz	1
TC2.txt	form	1
TC2.txt	feeding	1
TC2.txt	rentals	1
TC2.txt	practical	1
TC2.txt	steve	1
TC2.txt	serious	1
TC2.txt	mens	1
TC2.txt	faculty	1
TC2.txt	initiative	1
TC2.txt	variety	1
TC2.txt	ion	1
TC2.txt	interface	1
TC2.txt	remained	1
TC2.txt	icons	1
TC2.txt	excessive	1
TC2.txt	jon	1
TC3.txt	neighbors	1
TC3.txt	manual	1
TC3.txt	political	1
TC3.txt	mozambique	1
TC3.txt	old	1
TC3.txt	holding	1
TC3.txt	fc	1
TC3.txt	ford	1
TC3.txt	comparable	1
TC3.txt	industries	1
TC3.txt	antiques	1
TC3.txt	waste	1
TC3.txt	voice	1
TC3.txt	blond	1
TC3.txt	z	1
TC3.txt	flood	2
TC3.txt	enables	1
TC3.txt	feels	1
TC3.txt	validity	1
TC3.txt	midnight	1
TC3.txt	matters	1
TC3.txt	mortgage	1
TC3.txt	daughters	1
TC3.txt	diana	1
TC3.txt	notice	3
TC3.txt	postal	1
